name,source,gender,wikidata,type
Apgarweg,wikidata,F,Q463891,way
Gertrud-Kurz-Weg,wikidata,F,Q1515607,way
Gertrud-Woker-Strasse,wikidata,F,Q1515713,way
Hardeggerstrasse,wikidata,F,Q1895107,way
Jennerweg,wikidata,F,Q1712214,way
Rappardplatz,wikidata,F,Q17285487,way
Seilerstrasse,wikidata,F,Q42428984,way
Somazzistrasse,wikidata,F,Q15432162,way
Tumarkinweg,wikidata,F,Q124439,way
Balmerstrasse,wikidata,M,Q2571824,way
Baltzerstrasse,wikidata,M,Q1465595,way
Bornweg,wikidata,M,Q58978,way
Bovetstrasse,wikidata,M,Q694925,way
Bridelstrasse,wikidata,M,Q22261106,relation
Burckhardtstrasse,wikidata,M,Q52155990,way
Buristrasse,wikidata,M,Q177330,way
Carl-Lutz-Weg,wikidata,M,Q637057,way
Dübystrasse,wikidata,M,Q78076499,way
Eggimannstrasse,wikidata,M,Q106642108,way
Einsteinterrasse,wikidata,M,Q937,relation
Giacomettistrasse,wikidata,M,Q671236,way
Gotthelfstrasse,wikidata,M,Q122358,way
Guisanplatz,wikidata,M,Q123497,relation
Gutenbergstrasse,wikidata,M,Q8958,way
Hallerstrasse,wikidata,M,Q123225,way
Hesseweg,wikidata,M,Q25973,way
Huberstrasse,wikidata,M,Q115883,way
Humboldtstrasse,wikidata,M,Q6694,way
Kirchbergerstrasse,wikidata,M,Q15621520,way
Kochergasse,wikidata,M,Q115478,way
Königweg,wikidata,M,Q1448404,way
Lentulusstrasse,wikidata,M,Q2158781,way
Lorystrasse,wikidata,M,Q96337523,way
Mani-Matter-Stutz,wikidata,M,Q667551,way
Mottastrasse,wikidata,M,Q559892,way
Müllerstrasse,wikidata,M,Q115616,way
Müngerstrasse,wikidata,M,Q1713599,way
Munzingerstrasse,wikidata,M,Q106595721,way
Nägeligasse,wikidata,M,Q1579521,way
Niggelerstrasse,wikidata,M,Q19759028,way
Ochsenbeinstrasse,wikidata,M,Q558011,way
Pestalozzistrasse,wikidata,M,Q105428,way
Rohrweg,wikidata,M,Q14289777,way
Sahlistrasse,wikidata,M,Q122191,way
Schenkstrasse,wikidata,M,Q116992,way
Scheurerstrasse,wikidata,M,Q118187,way
Stämpflistrasse,wikidata,M,Q662344,way
Stoossstrasse,wikidata,M,Q1040717,way
Trachselweg,wikidata,M,Q106595771,way
Traffeletweg,wikidata,M,Q1462543,way
Tschäppätstrasse,wikidata,M,Q120748;Q74144,way
Weberstrasse,wikidata,M,Q55903732,way
Weltistrasse,wikidata,M,Q690693,way
Zieglerstrasse,wikidata,M,Q1504124,way
Zwyssigstrasse,wikidata,M,Q667651,way
